CampaignName,ReportName,Platform,aircraftID,takeoffdatetime,zone
2009_AN_UTIG,OIB_AN_20091118010000_UTIG_Report.txt,BT-67,C-GJKB,2009-11-18T01:00:00,UTC
2009_AN_UTIG,OIB_AN_20091126012900_UTIG_Report.txt,BT-67,C-GJKB,2009-11-26T01:29:00,UTC
2009_AN_UTIG,OIB_AN_20091127013100_UTIG_Report.txt,BT-67,C-GJKB,2009-11-27T01:31:00,UTC
2009_AN_UTIG,OIB_AN_20091218094000_UTIG_Report.txt,BT-67,C-GJKB,2009-12-18T09:40:00,UTC
2009_AN_UTIG,OIB_AN_20091202014200_UTIG_Report.txt,BT-67,C-GJKB,2009-12-02T01:42:00,UTC
2009_AN_UTIG,OIB_AN_20091217092000_UTIG_Report.txt,BT-67,C-GJKB,2009-12-17T09:20:00,UTC
2009_GR_NASA,OIB_GR_20090422130200_NASA_Report.txt,P-3B,N426NA,2009-04-22T13:02:00,UTC
2009_GR_NASA,OIB_GR_20090502105700_NASA_Report.txt,P-3B,N426NA,2009-05-02T10:57:00,UTC
2009_GR_NASA,OIB_GR_20090420105600_NASA_Report.txt,P-3B,N426NA,2009-04-20T10:56:00,UTC
2009_GR_NASA,OIB_GR_20090424115600_NASA_Report.txt,P-3B,N426NA,2009-04-24T11:56:00,UTC
2009_GR_NASA,OIB_GR_20090410233700_NASA_Report.txt,P-3B,N426NA,2009-04-10T23:37:00,UTC
2009_GR_NASA,OIB_GR_20090423121800_NASA_Report.txt,P-3B,N426NA,2009-04-23T12:18:00,UTC
2009_GR_NASA,OIB_GR_20090428104000_NASA_Report.txt,P-3B,N426NA,2009-04-28T10:40:00,UTC
2009_GR_NASA,OIB_GR_20090401110200_NASA_Report.txt,P-3B,N426NA,2009-04-01T11:02:00,UTC
2009_GR_NASA,OIB_GR_20090505123700_NASA_Report.txt,P-3B,N426NA,2009-05-05T12:37:00,UTC
2009_GR_NASA,OIB_GR_20090405093700_NASA_Report.txt,P-3B,N426NA,2009-04-05T09:37:00,UTC
2009_GR_NASA,OIB_GR_20090414110100_NASA_Report.txt,P-3B,N426NA,2009-04-14T11:01:00,UTC
2009_GR_NASA,OIB_GR_20090501170400_NASA_Report.txt,P-3B,N426NA,2009-05-01T17:04:00,UTC
2009_GR_NASA,OIB_GR_20090413113400_NASA_Report.txt,P-3B,N426NA,2009-04-13T11:34:00,UTC
2009_GR_NASA,OIB_GR_20090406110000_NASA_Report.txt,P-3B,N426NA,2009-04-06T11:00:00,UTC
2009_GR_NASA,OIB_GR_20090407154900_NASA_Report.txt,P-3B,N426NA,2009-04-07T15:49:00,UTC
2009_GR_NASA,OIB_GR_20090421135200_NASA_Report.txt,P-3B,N426NA,2009-04-21T13:52:00,UTC
2009_GR_NASA,OIB_GR_20090331095800_NASA_Report.txt,P-3B,N426NA,2009-03-31T09:58:00,UTC
2009_GR_NASA,OIB_GR_20090416110000_NASA_Report.txt,P-3B,N426NA,2009-04-16T11:00:00,UTC
2009_GR_NASA,OIB_GR_20090506134400_NASA_Report.txt,P-3B,N426NA,2009-05-06T13:44:00,UTC
2009_GR_NASA,OIB_GR_20090417170400_NASA_Report.txt,P-3B,N426NA,2009-04-17T10:27:00,UTC
2009_GR_NASA,OIB_GR_20090427102400_NASA_Report.txt,P-3B,N426NA,2009-04-27T10:24:00,UTC
2009_GR_NASA,OIB_GR_20090425111600_NASA_Report.txt,P-3B,N426NA,2009-04-25T11:16:00,UTC
2009_GR_NASA,OIB_GR_20090411170400_NASA_Report.txt,P-3B,N426NA,2009-04-11T17:04:00,UTC
2009_GR_NASA,OIB_GR_20090402130000_NASA_Report.txt,P-3B,N426NA,2009-04-02T13:00:00,UTC
2009_GR_NASA,OIB_GR_20090520132000_NASA_Report.txt,P-3B,N426NA,2009-05-20T13:20:00,UTC
2009_GR_NASA,OIB_GR_20090330112000_NASA_Report.txt,P-3B,N426NA,2009-03-30T11:20:00,UTC
2010_AK_UAF,OIB_AK_20100821173700_UAF_Report.txt,DHC-3,N226UT,2010-08-21T17:37:00,UTC
2010_AK_UAF,OIB_AK_20100824164000_UAF_Report.txt,DHC-3,N226UT,2010-08-24T16:40:00,UTC
2010_AK_UAF,OIB_AK_20100516165600_UAF_Report.txt,DHC-3,N226UT,2010-05-16T16:56:00,UTC
2010_AK_UAF,OIB_AK_20100526142800_UAF_Report.txt,DHC-3,N226UT,2010-05-26T14:28:00,UTC
2010_AK_UAF,OIB_AK_20100517165100_UAF_Report.txt,DHC-3,N226UT,2010-05-17T16:51:00,UTC
