Date, Dem_Tarball, Ortho_Tarball, Camera_Tarball, Summary_Tarball, Have_Dem_Previews, Have_Ortho_Previews
20170329, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170329_V20180328.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170329_V20180328.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170329_V20180328.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170329_V20180328.tar, True, True
20170330, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170330_V20180329.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170330_V20180329.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170330_V20180329.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170330_V20180329.tar, True, True
20170331, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170331_V20180331.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170331_V20180331.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170331_V20180331.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170331_V20180331.tar, True, True
20170403, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170403_V20180331.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170403_V20180331.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170403_V20180331.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170403_V20180331.tar, True, True
20170405, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170405_V20180331.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170405_V20180331.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170405_V20180331.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170405_V20180331.tar, True, True
20170406, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170406_V20180331.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170406_V20180331.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170406_V20180331.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170406_V20180331.tar, True, True
20170407, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170407_V20180402.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170407_V20180402.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170407_V20180402.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170407_V20180402.tar, True, True
20170410, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170410_V20180402.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170410_V20180402.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170410_V20180402.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170410_V20180402.tar, True, True
20170412, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170412_V20180326.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170412_V20180326.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170412_V20180326.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170412_V20180326.tar, True, True
20170411, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170411_V20180402.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170411_V20180402.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170411_V20180402.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170411_V20180402.tar, True, True
